assessment_id,title,job_roles,skills,level
101,Data Interpretation Test,Data Analyst|Business Analyst,Data Analysis|Statistics,Entry
102,Python Programming Test,Software Engineer|Data Scientist,Python|OOP,Mid
103,Logical Reasoning Test,All,Problem Solving|Critical Thinking,Entry
104,Java Programming Test,Software Engineer|Backend Developer,Java|OOP|DSA,Mid
105,Verbal Reasoning Test,Marketing Specialist|Content Writer,Communication|Comprehension,Entry
106,Situational Judgment Test,HR Manager|Team Lead,Decision Making|Leadership,Mid
107,Advanced Excel Test,Business Analyst|Data Analyst,Excel|Data Visualization,Mid
108,Frontend Development Test,Frontend Developer|UI Developer,HTML|CSS|JavaScript,Mid
109,Project Management Test,Product Manager|Project Manager,Planning|Risk Management,Senior
110,Creative Thinking Test,Graphic Designer|Content Creator,Creativity|Design Thinking,Entry
111,Cloud Infrastructure Test,DevOps Engineer|Cloud Engineer,AWS|CI/CD|Linux,Senior
112,SEO and SEM Test,Digital Marketer|Marketing Specialist,SEO|SEM|Analytics,Mid
113,Team Collaboration Test,All,Collaboration|Teamwork,Entry
